"분류","자치구","공연/행사명","날짜/시간","장소","기관명","이용대상","이용요금","출연자정보","프로그램소개","기타내용","홈페이지?주소","대표이미지","신청일","시민/기관","시작일","종료일","테마분류","위도(X좌표)","경도(Y좌표)","유무료","문화포털상세URL"
"교육/체험","종로구","[서울생활문화센터 체부] 2024 [살롱, 낯선] 2회차","2024-05-30~2024-05-30","서울생활문화센터 체부 체부홀","서울생활문화센터-체부","누구나","","","","","http://www.ccasc.or.kr/bbs/notice_view.php?idx=338&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6f74858c4ad541e4be71798a316a92e9&thumb=Y","2024-05-09","기관","2024-05-30 00:00:00.0","2024-05-30 00:00:00.0","기타","37.5767084987432","126.97148941423","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146704&menuNo=200011"
"교육/체험","마포구","[마포문화재단] 예술로 만나는 인문학 감상 콘서트 [아트스토리 M : 영화 이야기Ⅱ]","2024-05-30~2024-05-30","마포아트센터 플레이맥","마포문화재단","8세 이상 관람가","전석 10,000원 / 마포구민 특별가 5,000원","","","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2352&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a35e8f6bd7b84a40bd7f2590ad607a91&thumb=Y","2024-05-13","기관","2024-05-30 00:00:00.0","2024-05-30 00:00:00.0","기타","37.5499060881738","126.945533810385","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146800&menuNo=200011"
"클래식","종로구","[세종문화회관] 한국가곡연구회 제57회 정기연주회","2024-05-30~2024-05-30","세종체임버홀","세종문화회관","초등학생 이상 관람가","전석 40,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?menuNo=200004&performIdx=35194","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1549b77fef3e4676b4bf83f31e4cf47c&thumb=Y","2024-04-30","기관","2024-05-30 00:00:00.0","2024-05-30 00:00:00.0","","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146518&menuNo=200008"
"교육/체험","종로구","[서울공예박물관] 2024 SeMoCA 공예강좌 #2","2024-05-30~2024-05-30","서울공예박물관 교육동 1층 강당","서울공예박물관","전문가, 성인","","","","","https://craftmuseum.seoul.go.kr/progrm/view/255","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d6aa82ad39634ed49d755292252b1765&thumb=Y","2024-05-22","기관","2024-05-30 00:00:00.0","2024-05-30 00:00:00.0","기타","37.5766481740232","126.983533363501","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147001&menuNo=200011"
"교육/체험","종로구","[서울공예박물관] 특별전 연계 공예 강좌 [아티스트 토크 Artist Talk]","2024-05-30~2024-05-30","서울공예박물관 교육동 1층 강당","서울공예박물관","전문가, 성인","","","","","https://craftmuseum.seoul.go.kr/progrm/view/255","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b3dd78fd6afa43c884465d5f2fbefbe4&thumb=Y","2024-05-27","기관","2024-05-30 00:00:00.0","2024-05-30 00:00:00.0","기타","37.5766481740232","126.983533363501","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147097&menuNo=200011"
"축제-기타","종로구","K-FOOD 페스티벌 [넉넉]","2024-05-29~2025-05-31","광화문 광장 옆 세종로공원","서울시청","시민 누구나","","","","","https://knock-knock.kr/2024/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=be11260095e74d5491b834fe33e6c107&thumb=Y","2024-06-11","기관","2024-05-29 00:00:00.0","2025-05-31 00:00:00.0","기타","37.5734304140493","126.975960388222","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147468&menuNo=200010"
"뮤지컬/오페라","종로구","[세종문화회관] 뮤지컬 '영웅' 15주년 기념공연","2024-05-29~2024-08-11","세종대극장","세종문화회관","초등학생 이상 관람가 (2017년 12월 31일 이전 출생자, 미취학아동 입장불가)","VIP석 160,000 / R석 140,000 / S석 100,000 / A석 80,000 / B석 60,000","","","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?menuNo=200004&performIdx=35104","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d221bd5b35dc46f1a10e6a3827492c87&thumb=Y","2024-04-09","기관","2024-05-29 00:00:00.0","2024-08-11 00:00:00.0","기타","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146132&menuNo=200008"
"교육/체험","중구","[서울시립미술관 서소문본관] 쉬운글쓰기 워크숍 - 건축용어 해설집 만들기","2024-05-29~2024-06-28","서울시립미술관 서소문본관 B1, 3층","서울시립미술관","성인, 건축관련 전공 대학(원)생 및 관심이 있는 성인","","","","","https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1287407","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=db9fc0635e974d248cb1dab2d98ba468&thumb=Y","2024-05-14","기관","2024-05-29 00:00:00.0","2024-06-28 00:00:00.0","기타","37.5641060692766","126.973699316136","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146817&menuNo=200011"
"교육/체험","용산구","[서울문화재단] 서울 미술산책, 어디서 어떻게 감상할까?","2024-05-29~2024-06-26","서울문화예술교육센터 용산","서울문화재단","관심있는 누구나","","","","","https://www.sfac.or.kr/asa/edu/view.do?eduMstSeq=33780","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6050b9a479394312b5e1506ee80cbef5&thumb=Y","2024-05-13","기관","2024-05-29 00:00:00.0","2024-06-26 00:00:00.0","기타","37.5269056148241","126.966566172294","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146797&menuNo=200011"
"뮤지컬/오페라","강북구","[세종문화회관] 어린이뮤지컬 오리지널 캣","2024-05-29~2024-06-16","꿈의숲 퍼포먼스홀","세종문화회관","36개월 이상","R석 66,000원 / S석 44,000원","","","","https://www.sejongpac.or.kr:443/portal/performance/performance/view.do?performIdx=35199&menuNo=200004&sdate=2024-05-14&searchWrd=&searchSort=1&searchCnd=1&searchPlaceCdStr=P%2CALL&edate=2024-05-31&searchPackage=&pageIndex=3","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e07d4e2bc32c4b59bfd301344f24a46d&thumb=Y","2024-05-14","기관","2024-05-29 00:00:00.0","2024-06-16 00:00:00.0","가족 문화행사","37.6202544613023","127.044324732036","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146824&menuNo=200008"
"전시/미술","마포구","[서울생활문화센터 서교] 창작숲 미술관 정기 전시회","2024-05-29~2024-06-07","서울생활문화센터 서교 로비 (서교라운지)","서울생활문화센터-서교","시민 누구나","","","","","https://seogyocenter.or.kr/programall/?idx=420","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=995d143b022c435fa0e33845e259b5cd&thumb=Y","2024-05-23","기관","2024-05-29 00:00:00.0","2024-06-07 00:00:00.0","기타","37.5508138163956","126.916493990351","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147018&menuNo=200009"
"전시/미술","성동구","[성동문화재단] 염원+염원 展","2024-05-29~2024-06-07","갤러리허브","성동문화재단","누구나","","","","","https://www.sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=1058&page=1&p_kind=&s_idx=&s_keyword=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=98743e5d8b204ed9b80296573b84d322&thumb=Y","2024-05-30","기관","2024-05-29 00:00:00.0","2024-06-07 00:00:00.0","기타","37.5614417528647","127.038394194396","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147189&menuNo=200009"
"축제-문화/예술","강남구","2024 탄허 불교문화 Festival","2024-05-29~2024-06-02","탄허기념불교박물관 2층 대강당(보광명전)","기타","누구나","무료","","한국전통과 불교문화 기반의 문화예술 & 불교문화 교육체험 프로그램","","http://www.tanheo.org/cate05/cate0501?uid=533&mod=document","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5940597e0ec34b48a69c860b6cbb5f1e&thumb=Y","2024-05-28","시민","2024-05-29 00:00:00.0","2024-06-02 00:00:00.0","기타","37.4789886079745","127.10281217163","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147129&menuNo=200010"
"기타","마포구","[마포문화재단] [음악공간 : PLAYLIST] 러브 아다지오 [죽음 같은 사랑, 클래식]","2024-05-29~2024-05-29","마포아트센터 플레이맥","마포문화재단","8세 이상 관람가","일반석 10,000원 / 마포구민석 5,000원","","","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2357","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0529c62d39e341ee95d5e7c9034885d6&thumb=Y","2024-05-23","기관","2024-05-29 00:00:00.0","2024-05-29 00:00:00.0","기타","37.5499060881738","126.945533810385","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147026&menuNo=200013"
"교육/체험","은평구","[구립증산정보도서관] 책과 문화가 있는 [어린이 꿈작소] 5월","2024-05-29~2024-05-29","3층 어린이열람실","은평구청","어린이 ","","","","","https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1966&listname=normal","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=345d226b775b41c09319ae2e83f6ec72&thumb=Y","2024-05-22","기관","2024-05-29 00:00:00.0","2024-05-29 00:00:00.0","어린이/청소년 문화행사","37.5827270","126.9075589","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146995&menuNo=200011"
"영화","성동구","[성동 필름 페스타] 세계 영화 상영회 3회차 : 독일 영화 [토킹 어바웃 더 웨더(Taling about the weather)]","2024-05-29~2024-05-29","소월아트홀","성동문화재단","누구나","무료","","","","https://sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=1014","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb85a53e94104e44ae6e62945e2c574a&thumb=Y","2024-04-22","기관","2024-05-29 00:00:00.0","2024-05-29 00:00:00.0","기타","37.5593204","127.0360160","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146339&menuNo=200013"
"클래식","강북구","[세종문화회관] 2024 신인음악회 Harmony of Spring","2024-05-29~2024-05-29","꿈의숲 콘서트홀","세종문화회관","2017년 이전 출생자 (2017년생 포함) 및 초등학생 이상 입장 가능","전석 초대","","","","https://www.sejongpac.or.kr:443/portal/performance/performance/view.do?performIdx=35249&menuNo=200004&sdate=2024-05-14&searchWrd=&searchSort=1&searchCnd=1&searchPlaceCdStr=P%2CALL&edate=2024-05-31&searchPackage=&pageIndex=3","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb46a4596146497d8d6fe3cd97505022&thumb=Y","2024-05-14","기관","2024-05-29 00:00:00.0","2024-05-29 00:00:00.0","기타","37.6202544613023","127.044324732036","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146825&menuNo=200008"
"클래식","양천구","[양천문화회관] 2024 월간뮤지크 [더블베이시스트 성민제의 Best Bass Quartet]","2024-05-29~2024-05-29","양천문화회관 대극장","양천문화재단","초등학생 이상 관람 가능","1층 2만원, 2층 1만원 (양천구민 50%)","","","","https://yfac.kr/main/site/ticket/page1.do?proc_type=view&tidx=268&prepage=%2Fmain%2Fsite%2Fticket%2Fpage1.do","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=481a088d9d5049f4baa191f2b8677e99&thumb=Y","2024-05-03","기관","2024-05-29 00:00:00.0","2024-05-29 00:00:00.0","기타","37.5165209333904","126.863340014538","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146598&menuNo=200008"
